开间,进深,层高,北侧窗台高,北侧窗高,北侧窗墙比,南侧窗墙比,南侧窗高,南侧窗台高,南侧窗间距,CEUI,DGI,UDI
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.43,1.16,0.99,21.841017,18.902607,61.394892
8.7,7.8,3.1,1.27,1.4,0.16,0.2,1.43,1.16,4.18,21.87532,18.650492,58.33625
7.6,7.8,3.1,1.27,1.4,0.18,0.2,1.73,0.86,4.2,20.981554,18.728182,56.097835
7.8,7.8,3.1,1.28,1.4,0.18,0.2,1.68,0.86,4.2,21.179476,18.695366,56.398398
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.46,1.15,0.98,21.817528,18.905958,61.372284
7.6,7.8,3.1,1.28,1.4,0.22,0.2,1.45,1.18,0.98,21.847517,18.911648,61.572563
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.42,1.17,4.2,21.372143,18.758085,59.481323
7.6,7.8,3.1,1.27,1.4,0.18,0.2,1.73,0.92,4.2,21.014395,18.725067,56.776245
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.84,1.11,3.9,20.630306,19.097315,61.195765
7.8,7.8,3.1,1.29,1.4,0.19,0.2,1.41,1.18,4.17,21.421011,18.73597,59.087686
7.8,7.8,3.1,1.29,1.4,0.18,0.2,1.44,1.21,0.94,21.949039,18.822004,60.890215
7.5,7.8,3.4,1.26,1.72,0.24,0.2,1.84,1.11,3.83,20.651056,19.097437,61.289532
7.8,7.8,3.1,1.28,1.4,0.22,0.2,1.69,0.86,4.2,21.035204,18.74238,58.136155
7.6,7.8,3.1,1.29,1.4,0.19,0.2,1.41,1.18,4.17,21.391369,18.761143,59.577003
7.5,7.8,3.1,1.28,1.4,0.22,0.2,1.43,1.15,1.64,21.7215,18.89115,61.068702
7.6,7.8,3.5,1.28,1.81,0.23,0.2,1.91,1.11,3.97,20.49472,19.145416,61.210749
7.6,7.8,3.5,1.3,1.79,0.25,0.2,1.98,1.11,4.2,20.426037,19.174494,60.990485
